data,hora,taxa
2024/09/20,11:55:51,40.67143749226218
2024/09/20,11:55:52,44.76101934090571
2024/09/20,11:55:53,44.749722257848326
2024/09/20,11:55:54,89.90378061672872
2024/09/20,11:55:55,213.95906830404863
2024/09/20,11:55:56,415.5412729641457
2024/09/20,11:55:57,1158.524259969655
2024/09/20,11:55:58,421.58101852691044
2024/09/20,11:55:59,674.8372153208809
2024/09/20,11:56:00,1683.937720536842
2024/09/20,12:18:44,40.75599118589397
2024/09/20,12:18:45,45.14223975744828
2024/09/20,12:18:46,45.010416538008954
2024/09/20,12:18:47,90.04745027113677
2024/09/20,12:18:48,213.7821719828313
2024/09/20,12:18:49,416.16392676615845
2024/09/20,12:18:50,1158.1580152690447
2024/09/20,12:18:51,421.3032465942582
2024/09/20,12:18:52,675.1207283268326
2024/09/20,12:18:53,1683.2496130529062
